Source,Title,Author,Description,URL,Published At,Content
Business Insider,I was a remote worker at Google. I quit after the company refused to let me move to take care of my dad. - Business Insider,Tom Carter,"A Google employee quit his remote job after the company refused to let him move to look after his father, who is suffering from Parkinson's disease.",https://www.businessinsider.com/remote-google-employee-relocation-request-denied-care-for-sick-dad-2024-8,2024-09-15T10:13:00Z,Content not available
Bloomberg,Chinese Stock Traders Ponder Just How Bad the Economy Can Get - Bloomberg,"Abhishek Vishnoi, Winnie Hsu",A slew of poor economic data from China is deepening pessimism among equities traders wondering what it’d take for authorities to initiate forceful stimulus.,https://www.bloomberg.com/news/articles/2024-09-15/chinese-stock-traders-ponder-just-how-bad-the-economy-can-get,2024-09-15T07:14:23Z,"A slew of poor economic data from China is deepening pessimism among equities traders wondering what itd take for authorities to initiate forceful stimulus.
Figures released Saturday showed Chinese … [+189 chars]"
Motley Fool,"Nvidia Stock Split Update: Down 2% Since June, History Says the AI Stock Will Do This Next - The Motley Fool",The Motley Fool,No description available,https://www.fool.com/investing/2024/09/15/nvidia-stock-split-down-2-ai-stock-do-this-next/,2024-09-15T07:05:00Z,Content not available
Fortune,Will Norfolk Southern claw back fired CEO Alan Shaw's pay? - Fortune,Greg McKenna,Major companies have recently adopted measures to recoup pay from executives after misconduct or behavior that causes reputational harm.,https://fortune.com/2024/09/15/alan-shaw-affair-severance-norfolk-southern-equity/,2024-09-15T07:02:00Z,"Even when a Fortune 500 CEO is ousted, theres typically a golden goodbye on the way out. That doesnt apply to former Norfolk Southern chief executive Alan Shaw, however, who the railroad company fire… [+2802 chars]"
CNN,"Passenger arrested after trying to choke flight attendant and saying plane ‘is going down’ on California flight, DOJ says - CNN",Paradise Afshar,"A California man is facing federal charges after he allegedly tried to choke a flight attendant and “said he was going to kill everybody” while on board a Frontier Airlines flight to San Francisco that had to be diverted on Monday, authorities said.",https://www.cnn.com/2024/09/15/travel/california-man-frontier-flight-arrest/index.html,2024-09-15T06:39:00Z,A California man is facing federal charges after he allegedly tried to choke a flight attendant and said he was going to kill everybody while on board a Frontier Airlines flight to San Francisco that… [+2897 chars]
The Wall Street Journal,Wall Street Turns Skittish on Eve of Rate Cuts - The Wall Street Journal,The Wall Street Journal,No description available,https://www.wsj.com/finance/wall-street-turns-skittish-on-eve-of-rate-cuts-5e97c19c,2024-09-15T04:00:00Z,Content not available
Fox Business,"CEO of Boeing closes on $4.1M Seattle home amid factory workers' strike: 'They can pay us, too' - Fox Business",Jasmine Baehr,Boeing workers in Washington went on strike this week as new CEO Kelly Ortberg purchased a $4.1 million mansion in a gated community in Seattle.,https://www.foxbusiness.com/real-estate/ceo-boeing-closes-seattle-home-amid-factory-workers-strike,2024-09-15T02:33:00Z,"Boeing's new CEO has made a costly move to Seattle amid the aerospace company's factory workers' strike.
Robert ""Kelly"" Ortberg was recently named the chief executive of Boeing on Aug. 8. The 64-yea… [+2216 chars]"
Benzinga,Expert Says Warren Buffett's Top Executive Ajit Jain Sold Berkshire Hathaway Stake Because 'The Stock Was Fully Pricing The Business' - Benzinga,Navdeep Yadav,"Berkshire Hathaway Inc. executives have recently made significant sales of the company's stock, raising questions about the market's valuation. The sales, which come amid a historic market cap milestone, could indicate a shift in the company's outlook.",https://www.benzinga.com/markets/equities/24/09/40867788/expert-says-warren-buffetts-top-executive-ajit-jain-sold-berkshire-hathaway-stake-because-the-st,2024-09-15T02:14:27Z,"Berkshire Hathaway Inc.BRKBRKexecutives have recently made significant sales of the company’s stock, raising questions about the market’s valuation. The sales, which come amid a historic market cap m… [+2335 chars]"
Fox Business,"Disney, DirecTV reach deal to restore ESPN, ABC, other networks as college, pro football seasons ramp up - Fox Business",Brie Stimson,"Disney and DirecTV have reached a deal for a new licensing agreement, ending the two-week blackout of its sports and entertainment channels.",https://www.foxbusiness.com/entertainment/disney-directv-reach-deal-restore-espn-abc-networks-college-pro-football-seasons-ramp-up,2024-09-15T02:10:00Z,"Disney and DirecTV announced on Saturday they had reached a deal to restore its ""entire portfolio of networks,"" including ESPN and ABC, to the satellite provider following a two-week blackout. 
The … [+2623 chars]"
8News,Employees speak out after Virginia Boar’s Head plant announces shut down - WRIC ABC 8News,Sara Molina,"The Boar’s Head deli meat plant in Jarratt, Virginia has been shut down indefinitely after being linked to a deadly listeria outbreak. Now, hundreds of employees are without a job.",https://www.wric.com/news/virginia-news/employees-speak-out-after-virginia-boars-head-plant-announces-shut-down/,2024-09-15T01:40:08Z,"GREENSVILLE COUNTY, Va. (WRIC)  The Boars Head deli meat plant in Jarratt, Virginia has been shut down indefinitely after being linked to a deadly listeria outbreak. Now, hundreds of employees are wi… [+1400 chars]"
